2026-05-08 21:29:21,745 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-08 21:29:21,745 | INFO | apscheduler.scheduler | Added job "scheduled_fetch_all_configs" to job store "default"
2026-05-08 21:29:21,745 | INFO | apscheduler.scheduler | Scheduler started
2026-05-08 21:29:21,763 | INFO | api.scheduler | Scheduler started.
2026-05-08 21:29:26,604 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-08 21:29:26,607 | INFO | apscheduler.scheduler | Added job "scheduled_fetch_all_configs" to job store "default"
2026-05-08 21:29:26,607 | INFO | apscheduler.scheduler | Scheduler started
2026-05-08 21:29:26,623 | INFO | api.scheduler | Scheduler started.
2026-05-08 21:29:31,219 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-08 21:29:31,231 | INFO | apscheduler.scheduler | Added job "scheduled_fetch_all_configs" to job store "default"
2026-05-08 21:29:31,231 | INFO | apscheduler.scheduler | Scheduler started
2026-05-08 21:29:31,254 | INFO | api.scheduler | Scheduler started.
